,obj_yearConstructed,obj_livingSpace,obj_noRooms,obj_numberOfFloors,obj_lotArea,obj_noParkSpaces,obj_buildingType,obj_cellar,obj_condition,obj_interiorQual,obj_heatingType,obj_newlyConst,obj_regio1,geo_krs,obj_purchasePrice,label
76,,271.45,12.0,,741.0,,no_information,n,well_kept,no_information,self_contained_central_heating,n,Thüringen,Eisenach,290000.0,real
77,1900.0,320.0,15.0,4.0,310.0,,mid_terrace_house,n,no_information,no_information,stove_heating,n,Sachsen,Plauen,55000.0,real
78,1900.0,272.0,8.0,,1435.0,,other_real_estate,n,no_information,no_information,no_information,n,Mecklenburg_Vorpommern,Nordwestmecklenburg_Kreis,79200.0,real
79,1979.0,210.0,5.0,2.0,892.0,4.0,single_family_house,y,no_information,no_information,central_heating,n,Hessen,Marburg_Biedenkopf_Kreis,547000.0,real
80,2020.0,165.0,4.0,,560.0,,single_family_house,n,first_time_use,no_information,heat_pump,y,Bayern,Ingolstadt,1223000.0,real
81,1910.0,289.0,12.0,4.0,500.0,3.0,multi_family_house,y,refurbished,sophisticated,central_heating,n,Bremen,Bremen,1350000.0,real
82,2005.0,114.0,4.0,1.0,544.0,,single_family_house,n,well_kept,sophisticated,no_information,n,Niedersachsen,Harburg_Kreis,599000.0,real
83,1750.0,450.0,16.0,4.0,2532.0,4.0,other_real_estate,n,modernized,sophisticated,stove_heating,n,Bayern,Nürnberger_Land_Kreis,590000.0,real
84,2005.0,300.0,12.0,2.0,2444.0,4.0,other_real_estate,y,modernized,normal,central_heating,n,Mecklenburg_Vorpommern,Ostvorpommern_Kreis,365000.0,real
85,1964.0,236.5,13.0,2.0,498.0,,multi_family_house,y,modernized,sophisticated,central_heating,n,Nordrhein_Westfalen,Essen,475000.0,real
86,1927.0,248.0,10.0,3.0,530.0,1.0,semidetached_house,y,well_kept,no_information,central_heating,n,Saarland,Saarpfalz_Kreis,380000.0,real
87,1900.0,95.0,3.0,2.0,364.0,,single_family_house,y,refurbished,simple,stove_heating,n,Sachsen_Anhalt,Saalekreis,29000.0,real
88,1980.0,180.0,4.0,,707.0,1.0,single_family_house,y,modernized,sophisticated,central_heating,n,Nordrhein_Westfalen,Warendorf_Kreis,390000.0,real
89,1600.0,87.1,3.0,,28.59,,other_real_estate,n,no_information,no_information,no_information,n,Schleswig_Holstein,Flensburg,115000.0,real
90,2019.0,141.0,5.0,2.0,809.0,2.0,single_family_house,y,no_information,no_information,central_heating,y,Saarland,Merzig_Wadern_Kreis,355000.0,real
91,,162.0,5.0,2.0,465.0,2.0,villa,n,mint_condition,no_information,no_information,n,Hessen,Hochtaunuskreis,569000.0,real
92,2018.0,113.0,4.0,,187.0,2.0,mid_terrace_house,n,no_information,no_information,central_heating,n,Brandenburg,Barnim_Kreis,339000.0,real
93,,204.0,6.0,2.0,800.0,,single_family_house,n,no_information,no_information,no_information,n,Baden_Württemberg,Pforzheim,539000.0,real
94,2012.0,340.0,9.0,3.0,3909.0,2.0,special_real_estate,y,mint_condition,sophisticated,central_heating,n,Bayern,Passau_Kreis,475000.0,real
95,,138.0,4.0,1.0,600.0,,bungalow,n,no_information,no_information,no_information,n,Brandenburg,Havelland_Kreis,369000.0,real
96,1935.0,200.0,5.0,2.0,338.0,1.0,single_family_house,n,modernized,normal,central_heating,n,Nordrhein_Westfalen,Wesel_Kreis,292000.0,real
97,1750.0,420.0,13.0,5.0,180.0,1.0,multi_family_house,n,well_kept,no_information,central_heating,n,Hessen,Odenwaldkreis,690000.0,real
98,1939.0,75.0,3.0,2.0,636.0,2.0,single_family_house,y,well_kept,sophisticated,central_heating,n,Sachsen_Anhalt,Saalekreis,165000.0,real
99,2019.0,162.0,8.0,,604.0,,single_family_house,n,no_information,no_information,no_information,y,Mecklenburg_Vorpommern,Ostvorpommern_Kreis,110000.0,real
100,2019.0,133.0,7.0,2.0,403.0,3.0,multi_family_house,n,mint_condition,sophisticated,floor_heating,n,Niedersachsen,Stade_Kreis,83000.0,fake
101,,128.0,3.0,2.0,280.0,1.0,single_family_house,n,no_information,simple,central_heating,n,Baden_Württemberg,Oberhavel_Kreis,649000.0,fake
102,1997.0,200.0,6.0,,1200.0,1.0,villa,y,need_of_renovation,simple,heat_pump,n,Sachsen,Kleve_Kreis,640000.0,fake
103,2020.0,238.0,5.0,,1123.0,,single_family_house,y,well_kept,no_information,electric_heating,n,Baden_Württemberg,Hamburg,160000.0,fake
104,,200.0,2.0,,200.0,,other_real_estate,y,no_information,normal,central_heating,n,Hamburg,Neuwied_Kreis,360000.0,fake
105,1959.0,220.0,4.0,2.0,411.0,4.0,mid_terrace_house,y,need_of_renovation,no_information,central_heating,n,Bayern,Breisgau_Hochschwarzwald_Kreis,720000.0,fake
106,2021.0,224.0,7.0,2.0,680.0,3.0,single_family_house,n,no_information,sophisticated,gas_heating,n,Sachsen_Anhalt,Görlitz_Kreis,330000.0,fake
107,1997.0,374.0,6.0,,659.0,,single_family_house,n,well_kept,simple,central_heating,n,Bayern,Güstrow_Kreis,98500.0,fake
108,1985.0,134.0,10.0,2.0,1100.0,12.0,farmhouse,y,no_information,no_information,no_information,n,Bayern,Reutlingen_Kreis,750000.0,fake
109,2019.0,200.0,4.0,3.0,707.0,2.0,single_family_house,n,no_information,no_information,central_heating,n,Bayern,Rhein_Neckar_Kreis,552000.0,fake
110,1965.0,120.0,5.0,,490.0,3.0,villa,y,first_time_use,no_information,central_heating,n,Rheinland_Pfalz,Vogelsbergkreis,1175000.0,fake
